recipe_kind,source_name,source_weight,blend_mode,macro_f1,contact_macro_f1,binary_macro_f1,selection_score
audio_lift_source_blend,total240_tree_meta,0.2,raw_argmax,0.9256183931536495,0.9035259473257059,0.99077894279929,0.9255067143698303
audio_lift_source_blend,highsr_default,0.2,raw_argmax,0.9255275130325189,0.9034323955443332,0.9906836657478986,0.9254145930576012
audio_lift_source_blend,total240_ensemble,0.1,raw_argmax,0.9255103542647881,0.9033818954738907,0.99077894279929,0.925398675480969
audio_lift_source_blend,total120_grid,0.1,raw_argmax,0.9254595723449206,0.9033141862474006,0.99077894279929,0.9253478935611014
audio_lift_source_blend,total240_tree_meta,0.25,raw_argmax,0.925337380786139,0.9031512641690255,0.99077894279929,0.92522570200232
audio_lift_source_blend,report_gate_proba,0.5,segment_lift,0.9253156835249515,0.9034810571408189,0.989539984113488,0.9251877256685654
audio_lift_source_blend,total120_grid,0.15,raw_argmax,0.9249830352740882,0.902678803486291,0.99077894279929,0.9248713564902692
audio_lift_source_blend,highsr_default,0.1,raw_argmax,0.9249108254643359,0.9026101454534224,0.9906836657478986,0.9247979054894181
audio_lift_source_blend,highsr_regularized,0.1,raw_argmax,0.9244949406656525,0.9020280106750435,0.99077894279929,0.9243832618818335
audio_lift_source_blend,highsr_extratrees,0.33,raw_argmax,0.924430930579256,0.9019702856066493,0.9906836657478986,0.9243180106043382
audio_lift_source_blend,total240_grid,0.1,raw_argmax,0.9242947896405658,0.9017611426415945,0.99077894279929,0.9241831108567468
audio_lift_source_blend,total240_grid,0.15,raw_argmax,0.9242628815684475,0.9017462202589046,0.9906836657478986,0.9241499615935297
audio_lift_source_blend,highsr_regularized,0.25,raw_argmax,0.9238329210473748,0.901172939564141,0.9906836657478986,0.9237200010724571
audio_lift_source_blend,total240_stack_lr,0.25,raw_argmax,0.9238269348193499,0.9011654139837321,0.9906840947841588,0.9237141945651454
audio_lift_source_blend,total240_ensemble,0.15,raw_argmax,0.9235243484499485,0.9007615094342394,0.9906836657478986,0.9234114284750307
audio_lift_source_blend,report_gate_proba,0.2,raw_argmax,0.923355936237459,0.9005369598175866,0.9906836657478986,0.9232430162625412
audio_lift_source_blend,mfcc40_grid,0.2,raw_argmax,0.9232720693466128,0.9004251372964583,0.9906836657478986,0.923159149371695
audio_lift_source_blend,total240_ensemble,0.2,raw_argmax,0.9226991591436605,0.8996612570258554,0.9906836657478986,0.9225862391687428
audio_lift_source_blend,total240_ensemble,0.33,segment_lift,0.922460328277467,0.8993151941574626,0.99077894279929,0.922348649493648
